matricule,nom, prenom, phone, promos, referenciel,heure,status,date
4,Faye,Rama,709622665,1,Dev-Web,07:40,Present,12/04/2024
5,Kane,Aly,78232665,1,Dev-Data,09:10,Present,11/04/2024
6,Lo,Khady,77944665,1,Ref-Dig,08:20,Present,15/04/2024
6,Diallo,Moussa,772302020,1,Dev-Web,07:40,Present,15/04/2024    
8,Faye,Demba,709673562,1,Dev-Data,08:40,Retard,17/04/2024
9,Sylla,Penda,758905566,1,Ref-Dig,08:05,Present,18/04/2024
10,Seck,Ibra,779063622,1,Dev-Web,vide,Absent,11/04/2024
11,Diagne,Faly,8965255,1,Dev-Web,07:10,Present,12/04/2024
12,Sylla,Fatima,773883983,1,Ref-Dig,07:30,Present,21/04/2024
13,Mbaye,Papa,33399223,1,Dev-Data,07:55,Present,19/04/2024

